key;values001;values002
Information Technology;30/03/2008;27.39335188
Information Technology;29/04/2008;28.47609529
Information Technology;30/05/2008;29.29667866
Information Technology;29/06/2008;29.2223338
Information Technology;30/07/2008;28.09296609
Information Technology;30/08/2008;28.10715926
Information Technology;29/09/2008;25.48297483
Information Technology;30/10/2008;21.20811599
Information Technology;30/11/2008;20.2950431
Information Technology;31/12/2008;15.92575462
Information Technology;31/01/2009;17.16286463
Information Technology;28/02/2009;17.08434577
Information Technology;30/03/2009;22.2460071
Information Technology;29/04/2009;24.530544
Information Technology;30/05/2009;25.08418492
Information Technology;29/06/2009;16.60616653
Information Technology;30/07/2009;17.23962001
Information Technology;30/08/2009;17.33673913
Information Technology;29/09/2009;25.47849248
Information Technology;30/10/2009;23.01715209
Information Technology;30/11/2009;25.61774542
Information Technology;31/12/2009;24.061134
Information Technology;31/01/2010;23.22393332
Information Technology;28/02/2010;24.42588726
Information Technology;30/03/2010;35.50147116
Information Technology;29/04/2010;33.77501388
Information Technology;30/05/2010;30.41799363
Information Technology;29/06/2010;30.02359898
Information Technology;30/07/2010;33.32751952
Information Technology;30/08/2010;31.96338845
Information Technology;29/09/2010;30.49896723
Information Technology;30/10/2010;32.40369682
Information Technology;30/11/2010;31.47736072
Information Technology;31/12/2010;31.53259666
Information Technology;31/01/2011;41.76028276
Information Technology;28/02/2011;45.60577124
Information Technology;30/03/2011;39.98655797
Information Technology;29/04/2011;43.84633051
Information Technology;30/05/2011;39.85731688
Information Technology;29/06/2011;37.67512777
Information Technology;30/07/2011;35.77507797
Information Technology;30/08/2011;48.6310097
Information Technology;29/09/2011;42.83083175
Information Technology;30/10/2011;35.61150259
Information Technology;30/11/2011;35.32013698
Information Technology;31/12/2011;31.5641369
Information Technology;31/01/2012;32.0744075
Information Technology;29/02/2012;35.05301377
Information Technology;30/03/2012;26.43456857
Information Technology;29/04/2012;25.30561787
Information Technology;30/05/2012;24.52091942
Materials;31/01/2006;5.580616742
Materials;28/02/2006;5.453904707
Materials;31/03/2006;7.672884243
Materials;29/04/2006;7.719946717
Materials;30/05/2006;8.014461991
Materials;29/06/2006;7.942223133
Materials;30/07/2006;8.399827983
Materials;30/08/2006;8.532324573
Materials;29/09/2006;4.73242852
Materials;31/10/2006;4.740239749
Materials;30/11/2006;4.904206936
Materials;31/12/2006;5.958396343
Materials;31/01/2007;6.369389924
Materials;28/02/2007;6.261153904
Materials;30/03/2007;5.344394218
Materials;29/04/2007;5.493211124
Materials;30/05/2007;5.57473931
Materials;29/06/2007;5.383363306
Materials;30/07/2007;5.512589883
Materials;30/08/2007;5.811611266
Materials;29/09/2007;4.396229694
Materials;30/10/2007;4.696766361
Materials;30/11/2007;4.796300435
Materials;31/12/2007;4.181798518
Materials;31/01/2008;4.379764387
Materials;29/02/2008;4.69666422
Materials;30/03/2008;4.360999513
Materials;29/04/2008;4.4736291
Materials;30/05/2008;4.374976274
Materials;29/06/2008;3.327466119
Materials;30/07/2008;3.031618469
Materials;30/08/2008;2.57181402
Materials;29/09/2008;2.703499404
Materials;30/10/2008;2.203378659
Materials;30/11/2008;1.985062124
Materials;31/12/2008;0
Materials;31/01/2009;0
Materials;28/02/2009;0
Materials;30/03/2009;0
Materials;29/04/2009;0
Materials;30/05/2009;0
Materials;29/06/2009;0
Materials;30/07/2009;0
Materials;30/08/2009;0
Materials;29/09/2009;0.4449595
Materials;30/10/2009;0.339454693
Materials;30/11/2009;0.383482695
Materials;31/12/2009;0
Materials;31/01/2010;0
Materials;28/02/2010;0
Materials;30/03/2010;0
Materials;29/04/2010;0
Materials;30/05/2010;0
Materials;29/06/2010;0
Materials;30/07/2010;0
Materials;30/08/2010;0
Materials;29/09/2010;0
Materials;30/10/2010;0
Materials;30/11/2010;0
Materials;31/12/2010;0
Materials;31/01/2011;0.522164357
Materials;28/02/2011;0.592757867
Materials;30/03/2011;0
Materials;29/04/2011;0
Materials;30/05/2011;0
Materials;29/06/2011;0
Materials;30/07/2011;0
